evtm,evla,evlo,evdp,mag,id_cmt,id_ctm,id_dmt,id_fmt_ctm,id_fmt_htm
2008-01-01T06:32:32.700000Z,40.34,72.9,19.5,5.58,C200801010632A,20080101T063232M558Z020,20080101_063232.a,20080101063232,20080101063228
2008-01-01T18:55:08.900000Z,-5.95,146.94,51.2,6.29,C200801011855A,20080101T185508M629Z051,20080101_185508.a,20080101185508,20080101185459
2008-01-01T19:13:11.500000Z,-6.03,146.96,42.7,5.76,C200801011913A,20080101T191311M576Z043,20080101_191311.a,20080101191311,20080101191305
2008-01-04T07:29:22.900000Z,-3.09,100.69,46.1,6.01,C200801040729A,20080104T072922M601Z046,20080104_072922.a,20080104072922,20080104072918
2008-01-05T01:56:44.400000Z,13.99,-92.04,45.9,5.62,C200801050156A,20080105T015644M562Z046,20080105_015644.a,20080105015644,20080105015645
2008-01-05T07:29:35.900000Z,-22.87,-68.88,117.3,5.7,B200801050729A,20080105T072935M570Z117,20080105_072935.a,20080105072935,20080105072933
2008-01-05T10:39:16.400000Z,50.94,-131.04,12.0,5.67,C200801051039A,20080105T103916M567Z012,20080105_103916.a,20080105103916,20080105103914
2008-01-05T11:01:11.400000Z,51.11,-131.24,12.0,6.59,C200801051101A,20080105T110111M659Z012,20080105_110111.a,20080105110111,20080105110105
2008-01-05T11:44:51.200000Z,50.85,-130.92,12.0,6.42,C200801051144A,20080105T114451M642Z012,20080105_114451.a,20080105114451,20080105114448
2008-01-05T19:55:36.800000Z,-62.36,-155.58,13.6,5.67,C200801051955A,20080105T195536M567Z014,20080105_195536.a,20080105195536,20080105195531
2008-01-06T05:14:23.700000Z,36.98,22.87,92.4,6.17,C200801060514A,20080106T051423M617Z092,20080106_051423.a,20080106051423,20080106051420
2008-01-07T03:12:29.700000Z,-0.79,134.03,12.0,5.87,C200801070312A,20080107T031229M587Z012,20080107_031229.a,20080107031229,20080107031226
2008-01-07T07:46:29.900000Z,12.47,125.54,20.0,5.55,C200801070746A,20080107T074629M555Z020,20080107_074629.a,20080107074629,20080107074629
2008-01-07T08:14:21.500000Z,51.03,-179.34,26.1,5.62,C200801070814A,20080107T081421M562Z026,20080107_081421.a,20080107081421,20080107081420
2008-01-08T19:23:38.500000Z,-3.67,131.65,14.2,5.79,C200801081923A,20080108T192338M579Z014,20080108_192338.a,20080108192338,20080108192331
2008-01-09T08:26:52.800000Z,32.3,85.32,13.3,6.4,C200801090826A,20080109T082652M640Z013,20080109_082652.a,20080109082652,20080109082645
2008-01-09T14:40:04.100000Z,51.52,-131.49,12.1,6.01,C200801091440A,20080109T144004M601Z012,20080109_144004.a,20080109144004,20080109144001
2008-01-10T01:37:23.600000Z,43.51,-128.27,16.8,6.32,C200801100137A,20080110T013723M632Z017,20080110_013723.a,20080110013723,20080110013718
2008-01-13T12:15:39.300000Z,17.26,120.8,20.3,5.74,C200801131215A,20080113T121539M574Z020,20080113_121539.a,20080113121539,20080113121535
2008-01-14T13:38:40.500000Z,10.36,92.7,43.9,5.83,C200801141338A,20080114T133840M583Z044,20080114_133840.a,20080114133840,20080114133837
2008-01-15T17:52:20.600000Z,-22.05,-179.34,603.3,6.51,C200801151752A,20080115T175220M651Z603,20080115_175220.a,20080115175220,20080115175215
2008-01-16T11:54:51.300000Z,32.35,85.29,12.0,5.89,C200801161154A,20080116T115451M589Z012,20080116_115451.a,20080116115451,20080116115444
2008-01-20T06:09:00.000000Z,-35.01,-112.18,14.0,5.59,C200801200609A,20080120T060900M559Z014,20080120_060900.a,20080120060900,20080120060856
2008-01-20T18:41:53.000000Z,-44.88,167.0,14.1,5.53,C200801201841A,20080120T184153M553Z014,20080120_184153.a,20080120184153,20080120184147
2008-01-20T20:26:10.900000Z,2.68,126.86,39.8,6.08,C200801202026A,20080120T202610M608Z040,20080120_202610.a,20080120202610,20080120202604
2008-01-21T12:24:30.900000Z,-35.01,-112.11,16.2,5.76,C200801211224A,20080121T122430M576Z016,20080121_122430.a,20080121122430,20080121122427
2008-01-22T07:55:53.900000Z,-15.25,-175.17,14.6,6.02,C200801220755A,20080122T075553M602Z015,20080122_075553.a,20080122075553,20080122075548
2008-01-22T10:49:26.800000Z,-15.23,-175.31,13.6,6.12,C200801221049A,20080122T104926M612Z014,20080122_104926.a,20080122104926,20080122104921
2008-01-22T17:15:01.800000Z,0.87,97.18,23.0,6.2,C200801221714A,20080122T171501M620Z023,20080122_171501.a,20080122171501,20080122171458
2008-01-23T05:49:36.900000Z,14.54,-93.99,12.0,5.5,C200801230549A,20080123T054936M550Z012,20080123_054936.a,20080123054936,20080123054932
2008-01-24T04:12:19.100000Z,6.93,-82.35,18.2,5.86,C200801240412A,20080124T041219M586Z018,20080124_041219.a,20080124041219,20080124041214
2008-01-24T22:29:59.500000Z,-6.23,146.84,47.8,5.86,C200801242229A,20080124T222959M586Z048,20080124_222959.a,20080124222959,20080124222953
2008-01-29T14:57:30.800000Z,-59.0,-24.65,36.7,5.63,C200801291457A,20080129T145730M563Z037,20080129_145730.a,20080129145730,20080129145726
2008-01-30T07:32:48.500000Z,-7.17,127.71,19.1,6.11,C200801300732A,20080130T073248M611Z019,20080130_073248.a,20080130073248,20080130073242
2008-01-31T01:04:33.000000Z,-6.07,129.74,19.6,5.82,C200801310104A,20080131T010433M582Z020,20080131_010433.a,20080131010433,20080131010428
2008-02-01T12:10:10.800000Z,-21.53,-179.27,629.5,6.0,C200802011210A,20080201T121010M600Z630,20080201_121010.a,20080201121010,20080201121006
2008-02-03T07:34:15.000000Z,-2.38,28.82,12.0,5.93,C200802030734A,20080203T073415M593Z012,20080203_073415.a,20080203073415,20080203073412
2008-02-03T14:24:41.400000Z,-56.38,-26.54,98.9,5.61,C200802031424A,20080203T142441M561Z099,20080203_142441.a,20080203142441,20080203142437
2008-02-04T07:43:58.900000Z,19.0,-66.87,16.0,5.52,C200802040743A,20080204T074358M552Z016,20080204_074358.a,20080204074358,20080204074356
2008-02-04T17:01:36.300000Z,-20.27,-70.76,46.1,6.33,C200802041701A,20080204T170136M633Z046,20080204_170136.a,20080204170136,20080204170131
2008-02-05T05:56:52.700000Z,-3.44,118.12,18.8,5.77,C200802050556A,20080205T055652M577Z019,20080205_055652.a,20080205055652,20080205055647
2008-02-07T07:50:57.700000Z,1.55,122.57,30.6,5.78,C200802070750A,20080207T075057M578Z031,20080207_075057.a,20080207075057,20080207075055
