Command line:
-------------
/home/aboyce/anaconda3/envs/env3.12/bin/obspyDMT --datapath e2008 --data_source IRIS --event_catalog GCMT_COMBO --net II --cha LH? --loc e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --sta e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --preset 60 --offset 7200 --min_mag 5.5 --max_mag 7.5 --min_date=2008-01-01T00:00:00 --max_date=2008-12-31T00:00:00 --waveform_format sac --response True --pre_process=False --req_parallel --req_np 4 --parallel_process --process_np 4 

#N   LAT       LON       DEP  DATETIME             MAG   AUTH  EV_ID              FLY  
--------------------------------------------------------------------------------
1      -4.630   100.890  23   2008-12-30T19:49:56  5.92  None  20081230_194956.a  NAN
2      36.480    70.910  155  2008-12-29T03:37:43  5.82  None  20081229_033743.a  NAN
3      23.220    64.360  12   2008-12-25T22:40:26  5.84  None  20081225_224026.a  NAN
4      48.780  -129.060  12   2008-12-25T08:11:59  5.82  None  20081225_081159.a  NAN
5       5.740   125.660  198  2008-12-25T03:20:30  6.29  None  20081225_032030.a  NAN
6     -18.310   176.730  12   2008-12-25T00:10:51  5.52  None  20081225_001051.a  NAN
7     -17.310  -171.590  12   2008-12-24T09:11:38  5.97  None  20081224_091138.a  NAN
8      -6.670   154.800  45   2008-12-23T11:15:25  5.89  None  20081223_111525.a  NAN
9      36.630   142.410  12   2008-12-21T09:16:49  5.87  None  20081221_091649.a  NAN
10    -31.230   -13.270  12   2008-12-20T21:05:22  5.78  None  20081220_210522.a  NAN
11     -2.650   139.010  31   2008-12-20T17:44:47  5.55  None  20081220_174447.a  NAN
12      8.890   126.840  21   2008-12-20T15:43:06  5.61  None  20081220_154306.a  NAN
13     36.560   142.540  12   2008-12-20T10:29:29  6.33  None  20081220_102929.a  NAN
14    -32.560   -72.100  23   2008-12-19T09:36:08  5.72  None  20081219_093608.a  NAN
15     46.920   -27.130  12   2008-12-19T08:31:55  5.85  None  20081219_083155.a  NAN
16    -32.620   -72.110  21   2008-12-18T21:50:34  5.85  None  20081218_215034.a  NAN
17    -32.630   -72.130  22   2008-12-18T21:19:33  6.13  None  20081218_211933.a  NAN
18    -23.840  -179.650  562  2008-12-18T20:57:40  5.55  None  20081218_205740.a  NAN
19    -17.770  -178.300  548  2008-12-17T10:56:02  5.81  None  20081217_105602.a  NAN
20    -14.260   166.590  22   2008-12-13T22:37:25  5.6   None  20081213_223725.a  NAN
21    -49.120   123.860  12   2008-12-13T08:45:37  5.93  None  20081213_084537.a  NAN
22      0.060   123.640  135  2008-12-11T21:40:54  5.91  None  20081211_214054.a  NAN
23     -3.940   100.420  16   2008-12-11T17:06:11  5.67  None  20081211_170611.a  NAN
24    -12.330   166.320  67   2008-12-10T13:15:39  5.99  None  20081210_131539.a  NAN
25     30.330    67.510  16   2008-12-09T22:52:39  5.67  None  20081209_225239.a  NAN
26    -20.890  -178.620  607  2008-12-09T18:51:15  5.69  None  20081209_185115.a  NAN
27    -15.980   168.040  237  2008-12-09T17:29:01  6.04  None  20081209_172901.a  NAN
28     -2.820   139.390  23   2008-12-09T15:31:53  5.73  None  20081209_153153.a  NAN
29    -31.030  -176.540  19   2008-12-09T06:24:07  6.71  None  20081209_062407.a  NAN
30    -53.090   106.760  21   2008-12-08T18:39:15  6.3   None  20081208_183915.a  NAN
31     13.440   -44.830  12   2008-12-07T06:23:12  5.63  None  20081207_062312.a  NAN
32     -7.440   124.840  407  2008-12-06T10:55:31  6.41  None  20081206_105531.a  NAN
33    -27.400  -176.250  22   2008-12-06T06:21:51  5.59  None  20081206_062151.a  NAN
34     38.530   143.270  21   2008-12-05T20:03:13  5.53  None  20081205_200313.a  NAN
35    -21.620   -68.640  129  2008-12-04T16:47:15  5.53  None  20081204_164715.a  NAN
36     38.560   143.180  24   2008-12-03T23:16:58  5.77  None  20081203_231658.a  NAN
37     19.170   145.990  119  2008-12-02T12:31:44  5.93  None  20081202_123144.a  NAN
38     18.120   147.210  17   2008-11-30T00:38:59  5.56  None  20081130_003859.a  NAN
39    -18.720  -177.520  397  2008-11-29T05:59:19  5.98  None  20081129_055919.a  NAN
40     40.350  -127.040  23   2008-11-28T13:42:23  5.94  None  20081128_134223.a  NAN
41     -5.090   101.550  23   2008-11-28T08:50:51  5.92  None  20081128_085051.a  NAN
42    -17.990   167.480  13   2008-11-27T17:31:32  5.52  None  20081127_173132.a  NAN
43    -22.940  -174.540  18   2008-11-25T15:04:45  5.59  None  20081125_150445.a  NAN
44     18.120   147.230  14   2008-11-25T12:40:08  5.57  None  20081125_124008.a  NAN
45    -30.070  -177.380  42   2008-11-25T01:36:33  5.62  None  20081125_013633.a  NAN
46     54.270   154.710  502  2008-11-24T09:03:09  7.3   None  20081124_090309.a  NAN
47    -22.510   171.240  47   2008-11-23T08:58:21  5.58  None  20081123_085821.a  NAN
48    -37.150   -95.290  12   2008-11-22T23:06:49  5.68  None  20081122_230649.a  NAN
49     -0.770   -13.800  18   2008-11-22T18:49:50  6.29  None  20081122_184950.a  NAN
50    -22.530   171.280  42   2008-11-22T17:22:37  5.65  None  20081122_172237.a  NAN
51    -22.520   171.110  47   2008-11-22T16:01:43  6.4   None  20081122_160143.a  NAN
52     -4.730   101.070  20   2008-11-22T16:01:06  6.33  None  20081122_160106.a  NAN
53    -55.220  -129.490  24   2008-11-21T22:35:06  5.57  None  20081121_223506.a  NAN
54     -8.970   159.730  126  2008-11-21T07:05:36  6.0   None  20081121_070536.a  NAN
55    -22.200  -179.300  604  2008-11-19T20:39:01  5.83  None  20081119_203901.a  NAN
56      8.230   -82.770  42   2008-11-19T06:11:25  6.25  None  20081119_061125.a  NAN
57    -18.900   169.660  12   2008-11-18T14:03:16  5.54  None  20081118_140316.a  NAN
