evid,date_time,evt_lat,evt_lon,evt_dep,evt_mag,channel,nslc,stla,stlo,stel,phase,tdelay,tderr,ccmx,ttaup,tp_obs,tp_syn,Ap_obs,Ap_syn,dist,az,baz,mid_lat,mid_lon
C200801010632A,2008-01-01T06:32:32.700000Z,40.34,72.9,19.5,5.58,T,IU_DAV.00.LHT,7.07,125.579,149.0,SSS,5.7,2.4,0.81,1440.97,1464.02,1456.21,3.3e-06,2.42e-06,57.425,110.388,313.87,26.087,102.939
C200801010632A,2008-01-01T06:32:32.700000Z,40.34,72.9,19.5,5.58,T,IU_KIEV.00.LHT,50.701,29.224,140.0,sScSScS,4.4,2.2,0.85,1921.19,1942.04,1935.21,2.32e-07,8.18e-07,31.857,303.791,91.751,47.64,53.174
C200801010632A,2008-01-01T06:32:32.700000Z,40.34,72.9,19.5,5.58,T,IU_PET.00.LHT,53.023,158.65,105.0,SS,-5.4,1.4,0.85,1283.77,1287.01,1298.21,1.43e-07,2.99e-07,56.71,45.985,294.404,55.221,109.548
C200801010632A,2008-01-01T06:32:32.700000Z,40.34,72.9,19.5,5.58,T,IU_ULN.00.LHT,47.865,107.053,1610.0,ScS,11.3,1.95,0.88,985.12,989.04,984.21,2.29e-06,2.44e-06,25.48,61.395,265.582,45.394,88.859
C200801011855A,2008-01-01T18:55:08.900000Z,-5.95,146.94,51.2,6.29,T,IU_JOHN.00.LHT,16.733,-169.529,2.5,S,14.8,2.1,0.92,937.48,960.66,951.23,3.66e-06,6.11e-06,48.634,61.64,246.024,5.808,168.275
C200801011855A,2008-01-01T18:55:08.900000Z,-5.95,146.94,51.2,6.29,T,IU_KBS.00.LHT,78.915,11.938,87.0,SSS,12.45,1.65,0.86,2211.65,2228.04,2222.23,8.7e-07,2.52e-06,103.66,351.936,46.331,45.449,137.925
C200801011855A,2008-01-01T18:55:08.900000Z,-5.95,146.94,51.2,6.29,T,IU_KEV.00.LHT,69.756,27.004,85.0,SS,-22.6,2.25,0.8,2002.1,1993.04,2015.23,3.29e-07,3.29e-06,105.577,341.822,63.397,43.818,126.862
C200801040729A,2008-01-04T07:29:22.900000Z,-3.09,100.69,46.1,6.01,T,IU_BBSR.00.LHT,32.371,-64.696,-1.3,sSSS,-0.75,2.0,0.82,2884.64,2901.01,2893.28,4.52e-07,1.98e-06,147.724,336.724,27.824,60.159,51.21
C200801040729A,2008-01-04T07:29:22.900000Z,-3.09,100.69,46.1,6.01,T,IU_BBSR.00.LHT,32.371,-64.696,-1.3,sScSScSScS,-7.45,2.5,0.91,3382.86,3397.01,3401.28,4.85e-07,7.79e-07,147.724,336.724,27.824,60.159,51.21
C200801040729A,2008-01-04T07:29:22.900000Z,-3.09,100.69,46.1,6.01,T,IU_DAV.00.LHT,7.07,125.579,149.0,sS,1.4,1.9,0.88,631.15,646.03,639.28,6.32e-06,3.19e-06,26.843,67.818,248.7,2.038,113.096
